,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,avg_cost_price
19,Maruti,Swift Dzire,5,40000.0,Individual,Petrol,Manual,20.85,1197,83.14,5,5.75,8.69
20,Volkswagen,Vento,8,47000.0,Dealer,Petrol,Manual,16.09,1598,103.2,5,4.25,13.1
21,Maruti,Alto,8,25000.0,Dealer,Petrol,Manual,20.92,998,67.1,5,2.3,4.112027027027027
22,Hyundai,Creta,2,15000.0,Individual,Diesel,Manual,19.67,1582,126.2,5,12.25,14.625
23,Honda,City,6,50000.0,Individual,Petrol,Manual,17.4,1497,117.3,5,7.5,14.465
24,Mahindra,Bolero,10,25000.0,Individual,Diesel,Manual,13.6,2523,63.0,7,3.5,9.87
25,Maruti,Swift Dzire,6,90000.0,Individual,Diesel,Manual,26.59,1248,74.0,5,6.0,8.329472891566265
26,Maruti,Swift Dzire,8,45000.0,Dealer,Diesel,Manual,26.59,1248,74.0,5,3.9,8.329472891566265
27,Honda,City,14,77253.0,Dealer,Petrol,Manual,17.7,1497,78.0,5,1.45,14.74
28,Hyundai,i20,3,25000.0,Individual,Petrol,Manual,17.19,1197,81.86,5,7.0,10.810042134831459
30,Renault,KWID,4,30000.0,Individual,Petrol,Manual,23.01,999,67.0,5,3.4,5.05
31,Honda,Amaze,5,39993.0,Dealer,Petrol,Manual,18.6,1199,88.76,5,4.65,8.47
32,Hyundai,Santro,12,80000.0,Individual,Petrol,Manual,17.92,1086,62.1,5,1.25,6.399390243902439
33,Mahindra,XUV500,9,185000.0,Individual,Diesel,Manual,15.1,2179,140.0,7,6.0,19.975
34,Maruti,Swift Dzire,8,90000.0,Individual,Diesel,Manual,23.4,1248,74.0,5,3.8,8.329472891566265
35,Hyundai,i20,3,15000.0,Individual,Diesel,Manual,22.54,1396,88.73,5,8.5,10.810042134831459
36,Hyundai,i20,3,40000.0,Individual,Petrol,Manual,18.6,1197,81.83,5,5.98,10.145
37,Honda,City,6,31180.0,Dealer,Petrol,Automatic,18.0,1497,117.3,5,7.0,14.74
38,Maruti,Swift Dzire,7,56000.0,Dealer,Diesel,Manual,23.4,1248,74.0,5,4.1,8.329472891566265
39,Maruti,Baleno,5,52427.0,Dealer,Petrol,Automatic,21.4,1197,83.1,5,5.9,8.55
40,Mahindra,Bolero,1,40000.0,Individual,Diesel,Manual,21.0,1498,74.96,7,8.5,9.7
41,Mahindra,KUV100,3,17000.0,Individual,Petrol,Manual,18.15,1198,82.0,5,5.5,7.815
42,Maruti,Baleno,5,22000.0,Dealer,Petrol,Manual,15.4,1590,94.0,5,6.25,8.675
43,Maruti,Swift Dzire,5,54000.0,Individual,Petrol,Manual,20.85,1197,83.14,5,6.0,8.69
44,Maruti,Wagon R,2,10000.0,Individual,Petrol,Manual,20.51,998,67.04,5,4.45,5.95
45,Maruti,Ignis,2,20000.0,Individual,Petrol,Manual,20.89,1197,81.8,5,5.3,7.165
46,Maruti,Wagon R,3,53237.0,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,4.1,6.005
47,Datsun,RediGO,3,27263.0,Individual,Petrol,Manual,22.5,999,68.0,5,3.5,4.395
48,Hyundai,Verna,7,110000.0,Individual,Diesel,Manual,22.32,1582,126.3,5,5.2,15.465
49,Hyundai,i20,5,70000.0,Individual,Diesel,Manual,22.54,1396,88.73,5,7.5,11.21
50,Maruti,Swift Dzire,4,70000.0,Individual,Diesel,Manual,26.59,1248,74.0,5,5.6,8.329472891566265
51,Hyundai,i20,2,39000.0,Dealer,Petrol,Manual,18.6,1197,81.83,5,6.55,10.72
52,Hyundai,Santro,14,56000.0,Dealer,Petrol,Manual,17.8,1086,63.0,5,1.25,6.399390243902439
53,Hyundai,i20,3,34000.0,Individual,Petrol,Manual,18.6,1197,81.83,5,5.5,10.475
54,Mahindra,Scorpio,4,50000.0,Individual,Diesel,Manual,15.4,1997,120.0,7,11.5,17.51
55,Volkswagen,Vento,9,77400.0,Individual,Diesel,Manual,20.54,1598,103.6,5,5.0,13.294659090909091
56,Mahindra,Marazzo,2,36000.0,Individual,Diesel,Manual,17.3,1497,121.0,7,9.9,15.16
57,Hyundai,Verna,8,47876.0,Dealer,Diesel,Manual,25.0,1493,113.42,5,5.51,15.455
58,Mahindra,XUV500,3,21500.0,Individual,Diesel,Automatic,15.1,2179,152.87,7,16.5,19.91
59,Hyundai,Grand,6,75000.0,Dealer,Diesel,Manual,24.0,1120,70.0,5,3.5,7.071195054945055
60,Ford,Aspire,4,58000.0,Dealer,Petrol,Manual,18.16,1196,86.8,5,5.0,7.775
61,Maruti,Swift Dzire,3,30000.0,Individual,Petrol,Manual,21.21,1197,81.8,5,5.75,8.555
62,Hyundai,Grand,3,50000.0,Individual,Diesel,Manual,24.0,1186,73.97,5,5.45,7.071195054945055
63,Ford,Figo,4,19093.0,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,5.25,6.965
64,Honda,Amaze,7,50000.0,Individual,Petrol,Manual,18.0,1198,86.7,5,4.0,8.435
65,Maruti,Wagon R,15,37000.0,Dealer,Petrol,Manual,14.0,1061,64.0,5,1.55,6.05
66,Maruti,Swift Dzire,5,47000.0,Dealer,Diesel,Manual,26.59,1248,74.0,5,5.45,8.329472891566265
67,Honda,City,8,70000.0,Individual,Petrol,Manual,16.8,1497,116.3,5,5.45,15.29
68,Renault,KWID,5,25000.0,Individual,Petrol,Manual,25.17,799,53.3,5,2.4,4.855
69,Maruti,Vitara,3,26000.0,Dealer,Diesel,Manual,24.3,1248,88.5,5,7.25,10.815
70,Ford,Aspire,4,30000.0,Individual,Petrol,Manual,18.16,1196,86.8,5,4.8,7.65
71,Hyundai,i20,8,15000.0,Individual,Petrol,Manual,18.5,1197,82.9,5,3.75,10.475
72,Maruti,Swift,10,160000.0,Individual,Diesel,Manual,17.8,1248,75.0,5,2.25,7.746715686274511
73,Tata,Tiago,4,32100.0,Individual,Petrol,Manual,23.84,1199,84.0,5,4.0,6.76
74,Hyundai,i20,5,22000.0,Dealer,Petrol,Manual,18.5,1197,82.9,5,5.5,10.72
75,Mahindra,Scorpio,5,44000.0,Dealer,Diesel,Manual,15.4,2179,120.0,7,10.5,17.309853556485354
76,Volkswagen,Polo,5,78000.0,Dealer,Petrol,Manual,18.78,1198,74.0,5,4.5,9.065
78,Maruti,Wagon R,7,37000.0,Individual,Petrol,Manual,20.51,998,67.04,5,3.5,6.05
79,Honda,City,7,69000.0,Dealer,Diesel,Manual,25.1,1498,98.6,5,5.5,16.17
80,Kia,Seltos,2,12120.0,Individual,Petrol,Manual,16.8,1497,113.4,5,10.8,15.195
81,Maruti,Baleno,5,52000.0,Dealer,Petrol,Manual,21.01,1197,81.8,5,5.75,8.69356846473029
82,Toyota,Innova,5,120000.0,Individual,Diesel,Manual,12.99,2494,100.6,8,9.5,24.861428571428572
83,Maruti,Alto,8,55000.0,Individual,Petrol,Manual,22.74,796,47.3,5,2.3,4.065
84,Hyundai,i20,10,160000.0,Individual,Diesel,Manual,21.9,1396,90.0,5,2.7,9.94
85,Ford,Figo,10,40000.0,Individual,Petrol,Manual,15.6,1196,70.0,5,1.3,7.02
86,Maruti,Swift Dzire,9,46000.0,Dealer,Petrol,Manual,19.1,1197,85.8,5,3.7,8.24
87,Maruti,Baleno,4,25000.0,Dealer,Petrol,Manual,21.4,1197,83.1,5,5.7,8.55
88,Volkswagen,Polo,8,90000.0,Dealer,Diesel,Manual,22.07,1199,73.9,5,3.65,9.283830409356725
89,Hyundai,i20,9,49566.0,Dealer,Petrol,Manual,18.5,1197,82.85,5,2.8,10.810042134831459
90,Hyundai,Verna,3,14000.0,Dealer,Diesel,Automatic,22.0,1582,126.2,5,12.5,15.69
91,Hyundai,i20,5,11000.0,Dealer,Petrol,Manual,18.6,1197,81.83,5,5.9,10.72
92,Maruti,Celerio,3,5000.0,Individual,Petrol,Automatic,23.1,998,67.04,5,4.75,5.975
93,Ford,Ecosport,4,55000.0,Dealer,Diesel,Manual,23.0,1498,98.96,5,6.85,11.965
94,Hyundai,Verna,9,65000.0,Dealer,Diesel,Automatic,19.08,1582,126.32,5,3.8,14.583057553956834
95,Renault,KWID,3,22000.0,Individual,Petrol,Manual,23.01,999,67.0,5,3.3,5.225
96,Maruti,Baleno,3,7671.0,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,6.5,8.55
97,Maruti,Wagon R,5,66000.0,Individual,Petrol,Manual,20.51,998,67.04,5,3.25,5.95
98,Maruti,Swift Dzire,3,45156.0,Dealer,Petrol,Automatic,21.21,1197,81.8,5,6.4,8.3
99,Hyundai,Venue,2,25000.0,Individual,Petrol,Manual,18.27,998,118.35,5,9.49,9.655
100,Hyundai,Verna,6,120000.0,Individual,Diesel,Manual,23.9,1582,126.2,5,6.6,15.465
101,Maruti,Swift,7,28000.0,Dealer,Petrol,Manual,16.1,1197,85.0,5,4.35,7.81
102,Hyundai,i20,8,55000.0,Dealer,Diesel,Manual,21.9,1396,88.76,5,3.85,11.415
103,Hyundai,Verna,2,14000.0,Dealer,Diesel,Automatic,22.0,1582,126.2,5,12.5,15.69
104,Maruti,Wagon R,12,98780.0,Dealer,Petrol,Manual,18.9,998,67.1,5,1.55,6.185
105,Maruti,Swift,6,58000.0,Dealer,Diesel,Manual,25.2,1248,74.0,5,4.15,7.746715686274511
106,Maruti,Alto,10,30000.0,Individual,Petrol,Manual,20.92,998,67.1,5,2.51,4.112027027027027
107,Mahindra,Scorpio,5,46400.0,Dealer,Diesel,Manual,15.4,2179,120.0,7,11.5,17.51
108,Hyundai,i10,7,32111.0,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,3.1,7.138266666666667
109,Datsun,GO,6,35000.0,Individual,Petrol,Manual,19.44,1198,67.0,7,3.5,6.34
110,Mahindra,Scorpio,4,30000.0,Dealer,Diesel,Manual,15.4,1997,120.0,7,11.25,17.51
112,Datsun,GO,3,10000.0,Individual,Petrol,Manual,20.62,1198,67.0,7,4.8,6.53
113,Maruti,Swift Dzire,4,25000.0,Individual,Diesel,Automatic,28.4,1248,74.02,5,8.5,8.329472891566265
114,Hyundai,Creta,4,102000.0,Dealer,Diesel,Automatic,17.01,1582,126.2,5,11.0,15.725
115,Maruti,Swift,3,35000.0,Dealer,Petrol,Manual,22.0,1197,81.8,5,5.75,7.746715686274511
116,Maruti,Swift Dzire,9,49948.0,Dealer,Petrol,Manual,17.5,1298,85.8,5,3.4,8.3
117,Ford,Ecosport,3,55000.0,Individual,Diesel,Manual,23.0,1498,98.96,5,9.25,11.93
118,Hyundai,Grand,6,36000.0,Dealer,Petrol,Manual,18.9,1197,82.0,5,4.0,6.525
119,Honda,City,5,49625.0,Dealer,Petrol,Manual,17.8,1497,117.3,5,7.25,14.74
120,Maruti,Swift Dzire,7,35000.0,Individual,Diesel,Manual,23.4,1248,74.0,5,6.0,8.329472891566265
121,Mahindra,Scorpio,8,95000.0,Individual,Diesel,Manual,12.05,2179,120.0,8,5.5,16.995
122,Ford,Aspire,4,36000.0,Dealer,Diesel,Manual,25.83,1498,99.0,5,5.85,9.9
123,Maruti,Wagon R,2,50000.0,Individual,Petrol,Manual,21.79,998,67.05,5,4.11,6.24
124,Maruti,Swift Dzire,6,26500.0,Individual,Petrol,Manual,20.85,1197,83.14,5,4.5,8.465
126,Volkswagen,Polo,6,46000.0,Dealer,Petrol,Manual,16.47,1198,74.0,5,4.55,9.283830409356725
127,Hyundai,Grand,2,9000.0,Individual,Petrol,Manual,20.7,1197,81.86,5,7.1,7.435
128,Honda,City,5,53000.0,Dealer,Petrol,Manual,16.8,1497,116.3,5,7.7,14.74
130,Honda,Amaze,3,50000.0,Individual,Diesel,Manual,25.8,1498,98.6,5,7.2,10.325
131,Mahindra,KUV,5,52000.0,Dealer,Diesel,Manual,25.32,1198,77.0,5,3.75,7.8038333333333325
132,Datsun,GO,6,35000.0,Individual,Petrol,Manual,19.44,1198,67.0,7,4.0,6.34
133,Renault,Duster,6,48000.0,Individual,Diesel,Manual,19.87,1461,83.8,5,6.0,14.16888888888889
134,Honda,Jazz,3,18000.0,Individual,Petrol,Manual,18.7,1199,88.7,5,6.0,9.775
135,Maruti,Wagon R,9,57413.0,Individual,LPG,Manual,14.4,998,61.7,5,2.7,6.185586145648313
136,Hyundai,i20,6,30000.0,Individual,Petrol,Manual,18.6,1197,81.83,5,5.0,10.145
137,Hyundai,Verna,6,55000.0,Dealer,Diesel,Manual,23.9,1582,126.2,5,6.5,15.69
138,Maruti,Swift,3,10000.0,Individual,Petrol,Automatic,21.21,1197,81.8,5,6.6,7.715
140,Kia,Seltos,1,8000.0,Dealer,Petrol,Manual,16.8,1497,113.4,5,12.75,15.89
141,Maruti,Swift,6,65000.0,Dealer,Diesel,Manual,28.4,1248,74.0,5,4.95,7.746715686274511
142,Hyundai,Grand,5,25000.0,Individual,Petrol,Manual,18.9,1197,82.0,5,4.75,7.295
143,Maruti,Ciaz,6,70000.0,Individual,Petrol,Manual,20.73,1373,91.1,5,5.3,11.07
144,Tata,Tiago,5,9500.0,Individual,Petrol,Manual,23.84,1199,84.0,5,5.3,6.675
145,Hyundai,Verna,6,9100.0,Individual,Petrol,Manual,17.01,1591,121.3,5,6.5,13.025
146,Honda,City,11,86000.0,Dealer,Petrol,Manual,17.0,1497,118.0,5,3.35,14.205
148,Ford,Figo,10,60000.0,Individual,Diesel,Manual,20.0,1399,68.0,5,3.0,8.737458333333333
149,Maruti,Wagon R,2,7883.0,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,5.5,5.95
150,Maruti,Swift Dzire,8,50205.0,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,5,3.9,8.329472891566265
151,Mahindra,Bolero,13,220000.0,Individual,Diesel,Manual,13.6,2523,63.0,7,2.6,9.7
152,Tata,Tigor,4,58000.0,Dealer,Diesel,Manual,24.7,1047,69.0,5,3.95,7.541666666666668
153,Mahindra,Scorpio,9,170000.0,Individual,Diesel,Manual,12.05,2179,120.0,8,5.5,17.165
154,Maruti,Swift Dzire,3,15000.0,Individual,Petrol,Manual,22.0,1197,81.8,5,6.5,8.285
155,Maruti,Swift,5,71245.0,Dealer,Diesel,Manual,28.4,1248,74.0,5,3.75,7.746715686274511
156,Kia,Seltos,2,7000.0,Individual,Petrol,Manual,16.1,1353,138.0,5,13.0,15.195
157,Maruti,Alto,3,20000.0,Individual,Petrol,Manual,23.95,998,67.05,5,3.6,4.112027027027027
158,Maruti,Celerio,1,8700.0,Individual,Petrol,Manual,21.63,998,67.04,5,5.05,5.975
159,Maruti,Alto,2,25000.0,Individual,Petrol,Manual,24.7,796,47.3,5,3.1,4.065
160,Hyundai,i20,6,42000.0,Dealer,Petrol,Manual,18.6,1197,81.86,5,5.45,10.72
161,Mahindra,Bolero,15,120000.0,Individual,Diesel,Manual,13.6,2523,63.0,7,1.5,9.87
162,Maruti,Baleno,3,50000.0,Individual,Petrol,Manual,21.4,1197,83.1,5,5.8,8.375
163,Maruti,Wagon R,10,58000.0,Individual,Petrol,Manual,18.9,998,67.1,5,2.5,6.24
164,Hyundai,Verna,4,36000.0,Individual,Petrol,Manual,17.43,1396,105.5,5,6.5,13.53
165,Maruti,Ertiga,3,30000.0,Individual,Diesel,Manual,25.47,1248,88.5,7,4.1,10.38372
166,Ford,Ecosport,6,162828.0,Dealer,Diesel,Manual,22.77,1498,98.59,5,5.31,11.965
167,Ford,Ecosport,3,7500.0,Individual,Diesel,Manual,23.0,1498,98.96,5,8.9,11.718629283489095
168,Tata,Safari,5,47227.0,Dealer,Diesel,Manual,14.0,2179,138.1,7,7.75,18.13
169,Maruti,Wagon R,3,52000.0,Dealer,CNG,Manual,33.54,998,67.04,5,4.35,6.19
170,Ford,Figo,9,74000.0,Dealer,Diesel,Manual,20.0,1399,68.05,5,1.85,9.21
171,Mahindra,Bolero,10,47000.0,Dealer,Diesel,Manual,15.96,2523,62.1,7,4.4,9.87
172,Hyundai,i20,6,50000.0,Individual,Petrol,Manual,18.6,1197,81.83,5,4.5,10.145
173,Maruti,Baleno,4,100000.0,Individual,Petrol,Manual,21.4,1197,83.1,5,6.0,8.78
174,Maruti,Celerio,7,35000.0,Individual,Petrol,Manual,23.1,998,67.04,5,3.2,5.8
175,Hyundai,i20,5,50000.0,Individual,Diesel,Manual,21.19,1396,88.73,5,7.0,10.810042134831459
176,Ford,Aspire,3,10000.0,Individual,Petrol,Manual,18.16,1196,86.8,5,6.3,7.65
177,Maruti,Alto,5,10370.0,Individual,Petrol,Manual,22.74,796,47.3,5,3.2,4.06
178,Honda,City,8,62000.0,Dealer,Petrol,Manual,16.8,1497,116.3,5,4.65,14.74
179,Hyundai,i20,5,40000.0,Individual,Petrol,Manual,18.6,1197,81.83,5,5.5,10.810042134831459
180,Maruti,Swift,4,60000.0,Individual,Petrol,Manual,22.0,1197,81.8,5,4.45,7.715
181,Tata,Safari,8,67231.0,Dealer,Diesel,Manual,14.0,2179,138.1,7,7.05,18.13
182,Maruti,Wagon R,8,64000.0,Dealer,CNG,Manual,33.54,998,67.04,5,2.7,6.005
183,Honda,City,7,63000.0,Dealer,Diesel,Manual,26.0,1498,98.6,5,4.75,15.192078825347759
185,Honda,City,10,55000.0,Dealer,Petrol,Manual,16.9,1497,100.0,5,3.5,14.74
186,Hyundai,i20,5,11000.0,Dealer,Petrol,Manual,18.6,1197,81.83,5,5.75,10.72
187,Renault,KWID,4,17000.0,Individual,Petrol,Manual,23.01,999,67.0,5,3.6,5.05
188,Maruti,Alto,4,25000.0,Individual,Petrol,Manual,24.7,796,47.3,5,2.75,4.06
189,Datsun,GO,5,33350.0,Individual,Petrol,Manual,19.44,1198,67.0,7,3.2,6.225
190,Hyundai,Grand,6,62000.0,Dealer,Petrol,Manual,18.9,1197,82.0,5,3.7,6.525
191,Maruti,Swift Dzire,12,59000.0,Individual,Petrol,Manual,17.5,1298,85.8,5,2.75,8.285
192,Honda,City,7,86113.0,Dealer,Petrol,Manual,17.4,1497,117.3,5,5.5,14.74
193,Maruti,Swift Dzire,3,10000.0,Individual,Diesel,Manual,28.4,1248,74.02,5,7.5,8.329472891566265
194,Maruti,Wagon R,6,92537.0,Individual,Petrol,Manual,20.51,998,67.04,5,2.72,6.24
195,Maruti,Ciaz,2,27645.0,Dealer,Diesel,Manual,28.09,1248,88.5,5,9.51,11.595719424460432
196,Maruti,Alto,8,46242.0,Individual,Petrol,Manual,20.92,998,67.1,5,2.8,4.112027027027027
197,Honda,City,8,70000.0,Individual,Petrol,Manual,16.8,1497,116.3,5,5.45,15.29
198,Renault,KWID,1,6000.0,Individual,Petrol,Manual,22.3,799,53.26,5,4.5,5.067586206896552
199,Hyundai,i20,4,64000.0,Dealer,Petrol,Manual,18.6,1197,81.83,5,4.8,10.24
200,Mahindra,Scorpio,4,93000.0,Dealer,Diesel,Manual,15.4,1997,120.0,7,10.6,17.41
201,Maruti,Alto,8,26200.0,Dealer,Petrol,Manual,22.74,796,47.3,5,2.35,4.065
202,Maruti,Baleno,4,25000.0,Individual,Petrol,Manual,21.4,1197,83.1,5,5.9,8.55
204,Hyundai,Santro,13,80000.0,Individual,Petrol,Manual,17.92,1086,62.1,5,1.1,6.399390243902439
205,Mahindra,Scorpio,14,110000.0,Individual,Diesel,Manual,13.5,2179,115.0,5,2.8,17.795
207,Honda,City,3,25000.0,Individual,Petrol,Manual,17.4,1497,117.3,5,7.5,14.905
208,Hyundai,Grand,6,36000.0,Dealer,Petrol,Manual,18.9,1197,81.86,5,4.0,6.525
209,Maruti,Swift Dzire,6,40000.0,Individual,Diesel,Manual,26.59,1248,74.0,5,5.3,8.329472891566265
210,Mahindra,Thar,3,25000.0,Individual,Diesel,Manual,16.55,2498,105.0,6,8.7,15.16
211,Renault,KWID,3,30038.0,Dealer,Petrol,Manual,25.17,799,53.3,5,2.95,4.605
212,Tata,Tiago,4,53000.0,Individual,Diesel,Manual,27.28,1047,69.0,5,3.7,6.773722222222222
213,Maruti,Swift,3,5000.0,Individual,Petrol,Manual,21.21,1197,81.8,5,5.3,7.825
214,Renault,KWID,4,35000.0,Individual,Petrol,Automatic,24.04,999,67.0,5,3.5,4.855
215,Ford,Ecosport,8,62000.0,Dealer,Diesel,Manual,22.7,1498,89.84,5,4.7,11.765
216,Ford,Aspire,6,42000.0,Individual,Diesel,Manual,25.83,1498,99.0,5,3.9,9.815
217,Mahindra,Scorpio,6,80000.0,Individual,Diesel,Manual,15.4,2179,120.0,7,9.2,17.51
218,Mahindra,XUV500,8,60000.0,Individual,Diesel,Manual,15.1,2179,140.0,7,5.5,19.91
219,Hyundai,Verna,7,45000.0,Individual,Diesel,Manual,22.32,1582,126.32,5,6.35,15.69
220,Mahindra,XUV500,4,50000.0,Dealer,Diesel,Automatic,16.0,2179,140.0,7,12.5,19.91
221,Maruti,Alto,3,12000.0,Individual,Petrol,Manual,24.7,796,47.3,5,3.0,4.06
222,Honda,City,3,12000.0,Individual,Petrol,Automatic,18.0,1497,117.6,5,9.6,14.905
223,Maruti,Vitara,3,15000.0,Individual,Diesel,Manual,24.3,1248,88.5,5,7.5,10.815
224,Volkswagen,Polo,10,63000.0,Dealer,Petrol,Manual,16.47,1198,73.9,5,2.49,9.065
225,Tata,Hexa,3,30000.0,Individual,Diesel,Manual,17.6,2179,153.86,7,14.0,14.1
226,Ford,Figo,10,160800.0,Individual,Diesel,Manual,20.0,1399,68.0,5,2.5,9.185
227,Hyundai,Verna,7,120000.0,Individual,Diesel,Manual,22.32,1582,126.32,5,6.1,15.465
228,Ford,Ecosport,5,78247.0,Dealer,Diesel,Manual,21.7,1498,98.96,5,5.45,11.965
229,Hyundai,Verna,8,113000.0,Individual,Diesel,Manual,22.32,1582,126.3,5,4.8,13.6
230,Hyundai,i20,7,52000.0,Dealer,Petrol,Manual,18.6,1197,81.83,5,3.95,10.72
231,Toyota,Innova,9,109000.0,Dealer,Diesel,Manual,12.99,2494,100.6,7,4.95,24.861428571428572
232,Hyundai,Grand,4,90000.0,Individual,Petrol,Manual,18.9,1197,82.0,5,4.7,6.985
233,Volkswagen,Polo,10,98000.0,Dealer,Diesel,Manual,22.07,1199,73.9,5,2.0,9.283830409356725
234,Hyundai,i20,5,20000.0,Individual,Diesel,Manual,21.19,1396,88.73,5,6.99,10.810042134831459
235,Maruti,Wagon R,7,21717.0,Individual,Petrol,Manual,20.51,998,67.04,5,3.4,6.24
236,Renault,Duster,7,40000.0,Individual,Diesel,Manual,20.45,1461,83.8,5,5.0,14.16888888888889
237,Honda,City,4,50000.0,Individual,Petrol,Manual,17.14,1497,117.6,5,10.5,15.29
238,Renault,Duster,5,90000.0,Individual,Diesel,Manual,19.6,1461,108.45,5,6.0,14.16888888888889
239,Maruti,Swift,4,27876.0,Dealer,Petrol,Manual,20.4,1197,81.8,5,4.91,7.81
241,Hyundai,i10,13,57215.0,Individual,Petrol,Manual,20.36,1197,78.9,5,1.6,7.138266666666667
242,Hyundai,Venue,2,5400.0,Dealer,Petrol,Manual,18.27,998,118.35,5,9.85,10.905
243,Maruti,Swift Dzire,7,60000.0,Individual,Diesel,Manual,23.4,1248,74.0,5,5.0,8.329472891566265
244,Tata,Tiago,4,24800.0,Individual,Petrol,Manual,23.84,1199,84.0,5,3.35,6.76
245,Maruti,Alto,16,70000.0,Individual,Petrol,Manual,19.7,796,46.3,5,0.85,4.112027027027027
246,Honda,Jazz,3,20000.0,Dealer,Petrol,Automatic,17.1,1199,88.51,5,7.4,9.735
247,Maruti,Swift,8,34553.0,Dealer,Petrol,Manual,22.0,1197,81.8,5,3.75,7.51
248,Maruti,Vitara,3,40000.0,Individual,Diesel,Manual,24.3,1248,88.5,5,8.1,10.815
249,Volkswagen,Polo,11,350000.0,Individual,Petrol,Manual,16.47,1198,73.9,5,1.73,9.283830409356725
250,Maruti,Vitara,4,50000.0,Individual,Diesel,Manual,24.3,1248,88.5,5,7.0,10.815
251,Mahindra,KUV,5,70000.0,Individual,Diesel,Manual,25.32,1198,77.0,6,3.1,7.8038333333333325
252,Mahindra,Scorpio,4,120000.0,Individual,Diesel,Manual,15.4,1997,120.0,7,8.5,17.51
253,Hyundai,i20,8,90000.0,Individual,Diesel,Manual,22.54,1396,88.76,5,2.85,11.17
254,Maruti,Swift Dzire,7,120000.0,Individual,Diesel,Manual,23.4,1248,74.0,5,4.5,8.329472891566265
255,Hyundai,Creta,4,80000.0,Individual,Diesel,Manual,19.67,1582,126.2,5,11.0,16.56
256,Mahindra,Scorpio,4,30000.0,Individual,Diesel,Manual,15.4,1997,120.0,7,10.8,16.995
257,Honda,City,7,66100.0,Dealer,Diesel,Manual,26.0,1498,98.6,5,5.3,15.245
258,Maruti,Swift Dzire,4,50000.0,Individual,Diesel,Manual,28.4,1248,74.02,5,6.8,8.329472891566265
259,Mahindra,Scorpio,4,42000.0,Dealer,Diesel,Manual,15.4,1997,120.0,7,10.25,17.51
260,Hyundai,i20,4,55000.0,Individual,Petrol,Manual,18.6,1197,81.83,5,6.5,10.715
261,Hyundai,i10,9,110699.0,Dealer,Petrol,Manual,20.36,1197,78.9,5,1.94,7.138266666666667
262,Maruti,Baleno,2,5000.0,Individual,Petrol,Automatic,21.4,1197,83.1,5,6.86,8.675
263,Maruti,Alto,5,50000.0,Individual,Petrol,Manual,22.74,796,47.3,5,2.0,3.905
264,Maruti,Swift Dzire,11,44000.0,Dealer,Petrol,Manual,19.1,1197,85.8,5,2.5,8.24
265,Maruti,Vitara,3,90000.0,Individual,Diesel,Manual,24.3,1248,88.5,5,7.3,10.815
266,Hyundai,Verna,5,55000.0,Dealer,Petrol,Manual,17.01,1591,121.3,5,6.5,13.53
267,Maruti,Vitara,4,45000.0,Dealer,Diesel,Manual,24.3,1248,88.5,5,7.9,10.815
